source_filename,csv_filename,total_rows,n_total,n_valid,n_missing,accuracy_exact,mae,mse,rmse,pearson,spearman,predicted_mean,ground_truth_mean,predicted_std,ground_truth_std
appceleratorstudio,appceleratorstudio.csv,2919,2919,2917,2,0.29036681522111757,2.3736715803908126,12.855673637298594,3.5854809492310227,0.3437146576578753,0.3523603954466177,3.971203291052451,5.637298594446349,1.7086864611889288,3.327477465010446
aptanastudio,aptanastudio.csv,829,829,824,5,0.1104368932038835,4.889563106796117,47.74393203883495,6.909698404332489,0.342069012032552,0.30777121782880823,3.804611650485437,7.968446601941747,1.6809787389890927,5.861626306292294
bamboo,bamboo.csv,521,521,517,4,0.18375241779497098,2.117988394584139,8.094777562862669,2.8451322575343787,0.2455707757950259,0.32029238947864686,3.9690522243713735,2.4158607350096712,1.6921529080794067,2.148367841797221
clover,clover.csv,384,384,341,43,0.17888563049853373,3.3841642228739004,35.81818181818182,5.98482930568465,0.4845244065568327,0.5183621264016312,4.777126099706745,4.577712609970675,2.293893160993357,6.755649186342401
datamanagement,datamanagement.csv,4667,4667,4662,5,0.09480909480909482,7.342771342771343,282.75075075075074,16.815194044397785,0.2997933632205039,0.36983552325118124,4.535821535821536,9.57057057057057,2.4720500593924037,16.61231970270263
duracloud,duracloud.csv,666,666,665,1,0.10827067669172932,2.395488721804511,8.621052631578948,2.9361629095775577,0.6023712192685323,0.5924854060087064,4.333834586466166,2.1278195488721803,2.286645594535103,2.032171718900545
jirasoftware_filtered,jirasoftware_filtered.csv,284,284,282,2,0.2765957446808511,2.2375886524822697,13.067375886524824,3.614882555011272,0.23802505812626384,0.3308323072534534,3.7943262411347516,4.308510638297872,1.9257303665854624,3.5161850355908117
mesos,mesos.csv,1680,1680,1677,3,0.24865831842576028,2.022659511031604,8.13118664281455,2.851523565186609,0.4329267956170248,0.4900440715035963,4.433512224209899,3.0846750149075732,2.295039349629564,2.4203266298491606
moodle,moodle.csv,1166,1166,1157,9,0.09766637856525497,12.406222990492653,574.323249783924,23.965042244567897,0.43641515296156425,0.4104308710048145,3.802074330164218,15.535868625756267,1.9781844419850665,21.692402985304405
mule,mule.csv,889,889,888,1,0.30067567567567566,2.3220720720720722,11.054054054054054,3.3247637591344823,0.4044204926830505,0.4048080596795906,4.513513513513513,5.083333333333333,2.1214101152137097,3.499369138399006
mulestudio,mulestudio.csv,732,732,724,8,0.2610497237569061,3.3853591160220993,33.1560773480663,5.7581314111494795,0.17541529214614807,0.2755707804890889,4.469613259668508,6.366022099447513,2.2103526976507717,5.3742385537586586
springxd,springxd.csv,3526,3526,3382,144,0.25931401537551746,1.9316972205795386,9.096096984033116,3.0159736378213116,0.43599713808469914,0.4688459862578114,4.152276759314016,3.658781785925488,2.103122104796136,3.2132266109266423
talenddataquality,talenddataquality.csv,1381,1381,1370,11,0.2,3.305109489051095,26.131386861313867,5.111886820080612,0.3847848422531959,0.3909637564295405,4.12992700729927,5.909489051094891,2.243222564655705,5.186850306404531
talendesb,talendesb.csv,868,868,857,11,0.073512252042007,3.4959159859976663,16.88448074679113,4.109072979005256,0.4378692444597816,0.49296448845250235,5.537922987164527,2.1656942823803966,2.579805085487821,1.5032952169255676
titanium,titanium.csv,2251,2251,2241,10,0.23293172690763053,3.2552431950022314,26.84471218206158,5.181188298263399,0.34945110242591343,0.3204627529378774,4.301651048639,6.310129406514949,1.9682846832330978,5.094616383921159
usergrid,usergrid.csv,501,501,481,20,0.35135135135135137,1.819126819126819,7.424116424116424,2.7247231830254655,0.32938784178308994,0.3219188325629805,4.261954261954262,2.841995841995842,2.3817858159170555,1.3859350664140107
