dataset,pearson,spearman,mae,rmse,count
duracloud,0.5256578863014163,0.5702699929071879,3.1158238172920063,4.117364652330543,613
titanium,0.3474495379527316,0.3507936775842611,3.0951932139491047,5.070660000132752,2122
datamanagement,0.45955844781255,0.49197122072839006,6.840446650124069,15.208517595221723,4030
talenddataquality,0.3090265932157858,0.31683449313639617,3.664612676056338,5.593397138528228,1136
aptanastudio,0.3631060785986231,0.3183979533419906,5.0778210116731515,7.035669727071518,771
mesos,0.4041799680175331,0.4739746416742639,2.265685019206146,3.4835446353724997,1562
mulestudio,0.23203635309359238,0.36338655357402666,3.3852459016393444,5.779415138598567,732
bamboo,0.3159914585469159,0.3479761694713634,2.227272727272727,2.9519322050676418,374
jirasoftware,0.22853867957338528,0.3944178657915748,2.713675213675214,4.431337511040221,234
clover,0.5722957599798657,0.5043137681927561,3.188365650969529,5.311097460288879,361
moodle,0.3748318180081668,0.4158102131009677,12.15351629502573,23.30396133847591,1166
mule,0.39224074374347984,0.4565748350391635,2.481439820022497,3.6463458448489865,889
springxd,0.41143758406690656,0.44433398665600776,2.1793193717277486,3.2670214751929207,3056
usergrid,0.24249754037327848,0.2322383300107778,2.204204204204204,3.4641016151377544,333
talendesb,0.461398191861044,0.5177270205292168,4.001290322580645,5.48205282953443,775
appceleratorstudio,0.3355082758530439,0.37782191249129676,2.588317107093185,3.7869184098836137,2876
