source_filename,csv_filename,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean,total_rows,valid_predictions,output_folder
appceleratorstudio,appceleratorstudio.csv,2914,2.1410432395332877,3.2809949610005784,0.32973862923840846,0.3592004802415092,6.31194234728895,5.634866163349348,2914,2914,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_appceleratorstudio_20251218_231019
aptanastudio,aptanastudio.csv,821,4.115712545676005,6.255716021977408,0.33960938562201426,0.3507104680020825,5.271619975639464,8.042630937880633,821,821,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_aptanastudio_20251218_232157
bamboo,bamboo.csv,515,2.869902912621359,3.4697024298138754,0.260546053426027,0.3153624752794114,4.877669902912621,2.407766990291262,515,515,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_bamboo_20251218_232844
clover,clover.csv,379,3.203166226912929,6.04817947270391,0.4628572626907041,0.4837090768892868,4.118733509234828,4.604221635883905,379,379,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_clover_20251218_233351
datamanagement,datamanagement.csv,4638,7.452350150927124,16.563063068609857,0.2783104203076957,0.33353982775856444,5.222078482104355,9.528676153514446,4638,4638,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_datamanagement_20251219_003614
duracloud,duracloud.csv,661,2.379727685325265,2.9445197692848883,0.42057216222693056,0.4766002421566537,4.19213313161876,2.1210287443267775,661,661,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_duracloud_20251219_004509
jirasoftware_filtered,jirasoftware_filtered.csv,279,3.053763440860215,4.007162046916857,0.19829350162651826,0.3107974013369359,5.931899641577061,4.333333333333333,279,279,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_jirasoftware_filtered_20251219_004853
mesos,mesos.csv,1675,2.2961194029850747,2.962250052432159,0.3195870998534992,0.3404463431658951,4.71820895522388,3.083582089552239,1675,1675,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_mesos_20251219_011249
moodle,moodle.csv,1161,11.246339362618432,22.017904389271255,0.3439093806883342,0.30476510531022166,8.332472006890612,15.563307493540051,1161,1161,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_moodle_20251219_012904
mule,mule.csv,883,2.4292185730464326,3.4482092780700047,0.3594341676992897,0.343538448927705,4.012457531143828,5.0849377123442805,883,883,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_mule_20251219_014155
mulestudio,mulestudio.csv,726,3.409090909090909,5.45568169983526,0.19492620693923127,0.29976357858842345,6.028925619834711,6.3884297520661155,726,726,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_mulestudio_20251219_015232
springxd,springxd.csv,3520,2.0511363636363638,3.131493254024348,0.3354728688694606,0.39223472573367874,4.188920454545454,3.696875,3520,3520,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_springxd_20251219_024253
talenddataquality,talenddataquality.csv,1376,3.6177325581395348,5.081601560394582,0.3129853484812477,0.3327817343004673,6.585029069767442,5.930959302325581,1376,1376,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_talenddataquality_20251219_030252
talendesb,talendesb.csv,863,3.653534183082271,4.319912663809677,0.4105214900579978,0.4804283894428216,5.712630359212051,2.1517960602549246,863,863,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_talendesb_20251219_031507
titanium,titanium.csv,2246,3.365983971504898,5.021059833559211,0.23661461671814027,0.23652142572618337,6.26179875333927,6.316117542297418,2246,2246,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_titanium_20251219_034946
usergrid,usergrid.csv,477,1.4046121593291405,2.021892755431259,0.3230331923187412,0.28489798288067875,3.7777777777777777,2.842767295597484,477,477,story_point_prediction_results/Few Shot Results/gemini Basic/story_point_prediction_gemini_fewshot_usergrid_20251219_035639
