dataset,n_total,n_valid,n_missing,accuracy_exact,mae,rmse,pearson,spearman,predicted_mean,ground_truth_mean,predicted_std,ground_truth_std
appceleratorstudio,2914,2914,0,0.3325326012354152,2.2645847632120795,3.5221136880921744,0.30632664883076405,0.34145728145474114,4.4601921757035,5.634866163349348,2.0220108996740906,3.325746477398288
aptanastudio,821,821,0,0.15468940316686966,4.5676004872107185,6.521397367874454,0.34076349544670087,0.27073923714443865,4.712545676004872,8.042630937880633,2.151619010254652,5.966318871347949
bamboo,515,515,0,0.22718446601941747,1.7825242718446601,2.5762168394534446,0.20711720531544867,0.3154002460986336,3.38252427184466,2.407766990291262,1.5937882327429718,2.1374777546974673
clover,379,379,0,0.2559366754617414,2.926121372031662,6.043597104627399,0.4638123418129936,0.4835498929434155,3.5356200527704487,4.604221635883905,1.875961220484273,6.589761427822354
datamanagement,4638,4638,0,0.13432514014661492,7.248382923673997,16.898780418905954,0.3158396755633953,0.3658777622203289,4.029754204398448,9.528676153514446,2.1346668725694866,16.52613542403041
duracloud,661,661,0,0.19969742813918306,1.4508320726172466,2.065859650804719,0.3890507508584505,0.4951987035176929,2.9213313161875947,2.1210287443267775,1.144095003234828,2.033178471668771
jirasoftware_filtered,354,204,150,0.25980392156862747,2.4901960784313726,3.680899293357961,0.2806291302669428,0.391934965596875,5.3088235294117645,4.240196078431373,2.7233203054260993,3.138220128851289
mesos,1675,1675,0,0.2967164179104478,1.555820895522388,2.330588292909062,0.41276317760718106,0.4421798509825071,3.5504477611940297,3.083582089552239,1.593461693847868,2.421318413570193
moodle,1161,1161,0,0.16795865633074936,11.198966408268733,21.686474745975616,0.390190100915669,0.3335514069899282,7.768303186907838,15.563307493540051,5.108872737975183,21.685240429825345
mule,883,883,0,0.24575311438278596,2.3975084937712343,3.4201786128876894,0.4081903596910439,0.4189291897605646,3.8946772366930915,5.0849377123442805,1.6947313926435077,3.5022878288053922
mulestudio,726,726,0,0.29338842975206614,3.2644628099173554,5.6458863837179045,0.19123598113397805,0.3222346170069307,4.950413223140496,6.3884297520661155,2.3862291348869933,5.39226301542054
springxd,3520,3520,0,0.28011363636363634,1.7835227272727272,3.0839577582297486,0.3648910687640996,0.4465039749653478,3.0213068181818183,3.696875,1.3832721654361675,3.2247253441248613
talenddataquality,1376,1376,0,0.2063953488372093,3.3372093023255816,5.149508895075832,0.353836635801552,0.37013974483767065,4.2289244186046515,5.930959302325581,1.905950263233451,5.197652696342555
talendesb,863,863,0,0.13557358053302435,2.7612977983777522,3.3878318144861463,0.40347820658585026,0.45578467450829135,4.77404403244496,2.1517960602549246,2.2605613398323747,1.4850823237263049
titanium,2246,2246,0,0.29118432769367764,3.167408726625111,6.445953123098441,0.1623623812427503,0.323190881608546,5.270703472840606,6.316117542297418,4.722283444510218,5.098388607171988
usergrid,477,477,0,0.3668763102725367,1.3249475890985325,1.9350025325147704,0.2259890075841887,0.18958675285764684,3.450733752620545,2.842767295597484,1.5624884827720624,1.3851004477498179
