dataset,pairwise_spearman,pairwise_pearson,pairwise_mae,zeroshot_spearman,zeroshot_pearson,zeroshot_mae,fewshot_spearman,fewshot_pearson,fewshot_mae,pairwise_count,pairwise_rmse,zeroshot_count,zeroshot_rmse,fewshot_count,fewshot_rmse
appceleratorstudio,0.34117238651732396,0.30354120340126134,2.5210688591983557,0.3733151559017549,0.3340902562784174,2.6043165467625897,0.342212498588929,0.305222196480715,2.3929427886262418,2919,3.7510304625077606,2919,3.8018765313067617,2919,3.756688679160717
aptanastudio,0.39430241339163286,0.3949416937557937,4.354644149577805,0.340041525081152,0.3869902337096175,4.886610373944511,0.3845842300492872,0.389507631702437,3.9794933655006033,829,6.304114343810011,829,6.869189616185608,829,6.007936046329997
bamboo,0.39098631970630543,0.37454587008931206,2.4299424184261036,0.3314116956194543,0.2259093854348849,2.1708253358925145,0.4053804209243773,0.3326349392857328,1.3800383877159308,521,3.3445747745064507,521,3.0121315808358564,521,2.2911831340054123
clover,0.516272758852211,0.3923415253772827,3.7369791666666665,0.4879424927291924,0.5390811016894018,3.2317708333333335,0.5595906972146201,0.5935063310496922,2.6744791666666665,384,6.2481247186655935,384,5.526687148132535,384,5.716159477014848
datamanagement,0.5229817021162823,0.4559748312970259,7.1602742661238485,0.4770931468465423,0.4353426354681898,6.971073494750375,0.4837079068100802,0.4494087399805363,6.984569224174882,4667,14.956353899353845,4667,15.6514422711839,4666,16.19070341221857
duracloud,0.5875177530063437,0.603745774933856,3.394894894894895,0.5531568556204741,0.4862127668741882,3.0615615615615615,0.6030828550937479,0.5263458599093636,1.3843843843843844,666,4.747213502259619,666,4.056100584545698,666,2.037928642802086
jirasoftware_filtered,0.45812352396008504,0.3072743397435735,2.563380281690141,0.4091843087281457,0.2581517341002712,2.5598591549295775,0.4318334774435514,0.2997667993781858,2.204225352112676,284,3.8217317805959254,284,4.17276548957474,284,3.4894206307105153
mesos,0.5423732046253338,0.4547875237603255,2.274404761904762,0.4554420485530304,0.3887008613037711,2.2767857142857144,0.540764167846096,0.4810040109728843,1.588690476190476,1680,3.495490291926496,1680,3.4729396084310946,1680,2.518621126916945
moodle,0.39126698404440463,0.42853097148622604,12.027444253859349,0.4158102131009678,0.3748318180081667,12.15351629502573,0.4163478424179749,0.441856415084664,10.74334763948498,1166,23.060551214107097,1166,23.30396133847591,1165,20.719587050750988
mule,0.4702010436392735,0.4549212293668594,2.5061867266591675,0.4565748350391635,0.3922407437434799,2.481439820022497,0.4544271692856755,0.4726009888698387,2.3813273340832395,889,3.6231352598766002,889,3.6463458448489865,889,3.3496973655757145
mulestudio,0.32825586345917623,0.21107626816784023,3.6830601092896176,0.3633865535740266,0.2320363530935923,3.3852459016393444,0.3137134787459313,0.1887702778561615,3.435792349726776,732,6.009100566431414,732,5.779415138598567,732,5.742065088050625
springxd,0.46965664039045957,0.37697089834526565,2.9378899602949518,0.4458174010332723,0.3992417615391289,2.2433352240499147,0.4895379762735936,0.4305955817548816,1.7858763471355643,3526,4.696186647702835,3526,3.471053625749738,3526,2.9940856808206564
talenddataquality,0.4053919134759269,0.3526059588145296,3.570601013758146,0.3439223220364217,0.3237300170988121,3.499637943519189,0.4142582861902948,0.3575239736236265,3.384503982621289,1381,5.448528157917298,1381,5.390675028496246,1381,5.25704244735248
talendesb,0.521575379619982,0.4698106196402026,4.535714285714286,0.4976236814419734,0.4396834121625511,3.8963133640552994,0.5152896054545706,0.4456633246206853,2.7764976958525347,868,6.019457697146973,868,5.356205755211977,868,3.82087402841468
titanium,0.36850220960041136,0.34340408188465316,3.2669924478009773,0.3599123995443829,0.3659466025231115,3.1723678365171035,0.3948455920774187,0.4093391682653618,3.013771657041315,2251,5.376289323940208,2251,5.129032528452215,2251,4.7631601230761795
usergrid,0.3318960180523848,0.30204766405943806,3.0643153526970957,0.2486983672638099,0.2603989627329326,2.132780082987552,0.3256495320061756,0.3624584381759359,1.4315352697095436,482,4.499654205247886,482,3.3103634580007055,482,2.015500102679336
